AT3G01025	AT3G01420
AT3G01115	AT3G02260
AT3G01285	AT3G03590
AT3G01315	AT3G03670
AT3G01665	AT3G05650
AT3G01775	AT3G05810
AT3G01785	AT3G05860
AT3G01815	AT3G06130
AT3G02145	AT3G09280
AT3G02775	AT3G13790
AT3G02835	AT3G14040
AT3G02955	AT3G14490
AT3G03035	AT3G15220
AT3G03335	AT3G16510
AT3G03345	AT3G16580
AT3G03755	AT3G18720
AT3G03925	AT3G19900
AT3G03935	AT3G20015
AT3G04005	AT3G20710
AT3G04235	AT3G22136
AT3G04395	AT3G23123
AT3G04925	AT3G25655
AT3G04955	AT3G25719
AT3G04975	AT3G26130
AT3G05005	AT3G26190
AT3G05025	AT3G26500
AT3G05175	AT3G27185
AT3G05375	AT3G27925
AT3G05395	AT3G28155
AT3G05645	AT3G28980
AT3G05765	AT3G29578
AT3G06075	AT3G30742
AT3G06785	AT3G44370
AT3G06935	AT3G44820
AT3G07165	AT3G45570
AT3G07295	AT3G45860
AT3G07395	AT3G46320
AT3G07505	AT3G46620
AT3G07675	AT3G47250
AT3G07765	AT3G47480
AT3G08105	AT3G50330
AT3G08135	AT3G50660
AT3G08200	AT3G51410
AT3G08290	AT3G52740
AT3G08295	AT3G52780
AT3G08345	AT3G53460
AT3G08415	AT3G54770
AT3G08765	AT3G56890
AT3G08845	AT3G57100
AT3G08925	AT3G57410
AT3G08985	AT3G57785
AT3G09075	AT3G58100
AT3G09105	AT3G58200
AT3G09115	AT3G58340
AT3G09185	AT3G59070
AT3G09345	AT3G60040
AT3G09485	AT3G60630
AT3G09705	AT3G61730
AT3G01075	AT3G02120
AT3G01125	AT3G02280
AT3G01255	AT3G03510
AT3G01395	AT3G04110
AT3G02055	AT3G07880
AT3G02195	AT3G09350
AT3G02415	AT3G11430
AT3G02595	AT3G12860
AT3G02685	AT3G13380
AT3G02695	AT3G13432
AT3G02905	AT3G14290
AT3G03165	AT3G15909
AT3G03375	AT3G16830
AT3G03435	AT3G17100
AT3G03675	AT3G18370
AT3G03875	AT3G19700
AT3G03915	AT3G19870
AT3G04215	AT3G22020
AT3G04335	AT3G22942
AT3G04425	AT3G23270
AT3G04455	AT3G23510
AT3G04555	AT3G23610
AT3G04815	AT3G24780
AT3G05235	AT3G27400
AT3G05445	AT3G28157
AT3G05745	AT3G29577
AT3G05925	AT3G29640
AT3G06285	AT3G32383
AT3G06395	AT3G42545
AT3G06405	AT3G42553
AT3G06485	AT3G42880
AT3G06815	AT3G44425
AT3G06845	AT3G44540
AT3G07085	AT3G45250
AT3G07245	AT3G45710
AT3G07405	AT3G46340
AT3G07655	AT3G47210
AT3G07965	AT3G48490
AT3G08035	AT3G49040
AT3G08065	AT3G49560
AT3G08185	AT3G51180
AT3G08310	AT3G52980
AT3G08335	AT3G53300
AT3G08360	AT3G53600
AT3G08380	AT3G54280
AT3G08395	AT3G54450
AT3G08435	AT3G54840
AT3G08535	AT3G55590
AT3G08545	AT3G55600
AT3G08815	AT3G57040
AT3G08875	AT3G57250
AT3G09015	AT3G57850
AT3G09205	AT3G59455
AT3G09355	AT3G60110
AT3G09545	AT3G60970
AT3G09555	AT3G60975
AT3G09695	AT3G61700
AT3G09855	AT3G62680
AT4G03765	AT4G00893
AT4G03855	AT4G01090
AT4G03905	AT4G01590
AT4G04015	AT4G01930
AT4G04085	AT4G02300
AT4G04565	AT4G03350
AT4G05285	AT4G07990
AT4G05845	AT4G11090
AT4G05900	AT4G11610
AT4G05920	AT4G11770
AT4G06095	AT4G13500
AT4G06145	AT4G13890
AT4G06170	AT4G14070
AT4G06400	AT4G16630
AT4G06455	AT4G16930
AT4G06460	AT4G16940
AT4G06675	AT4G17170
AT4G06810	AT4G18425
AT4G06845	AT4G18790
AT4G06890	AT4G19440
AT4G06905	AT4G19640
AT4G06950	AT4G20190
AT4G07050	AT4G22080
AT4G07280	AT4G24660
AT4G07335	AT4G25020
AT4G07775	AT4G27060
AT4G07785	AT4G27120
AT4G07865	AT4G27520
AT4G07985	AT4G28110
AT4G08205	AT4G29710
AT4G08595	AT4G31960
AT4G08835	AT4G33780
AT4G08915	AT4G34070
AT4G09105	AT4G35130
AT4G09895	AT4G39610
AT4G09915	AT4G39810
AT4G03575	AT4G00310
AT4G03815	AT4G00990
AT4G03875	AT4G01490
AT4G04305	AT4G02880
AT4G04755	AT4G03825
AT4G04785	AT4G04150
AT4G04805	AT4G04293
AT4G04865	AT4G04410
AT4G05005	AT4G04850
AT4G05085	AT4G05310
AT4G05115	AT4G05340
AT4G05275	AT4G07950
AT4G05335	AT4G08090
AT4G05535	AT4G08455
AT4G05875	AT4G11320
AT4G05965	AT4G12130
AT4G06005	AT4G13240
AT4G06330	AT4G15510
AT4G06820	AT4G18510
AT4G06900	AT4G19590
AT4G07055	AT4G22217
AT4G07115	AT4G23400
AT4G07135	AT4G23570
AT4G07220	AT4G24050
AT4G07245	AT4G24120
AT4G07250	AT4G24240
AT4G07300	AT4G24974
AT4G07375	AT4G25410
AT4G07645	AT4G26430
AT4G07845	AT4G27500
AT4G08495	AT4G31350
AT4G08635	AT4G32010
AT4G08715	AT4G32990
AT4G09125	AT4G35190
AT4G09185	AT4G35560
AT4G09240	AT4G35970
AT4G09315	AT4G36480
AT4G09665	AT4G37790
AT4G09705	AT4G38470
AT4G09755	AT4G38825
AT4G09905	AT4G39756
AT4G09935	AT4G39850
AT5G00730	AT5G01010
AT5G00735	AT5G01110
AT5G00825	AT5G02220
AT5G01065	AT5G05653
AT5G01325	AT5G07160
AT5G01585	AT5G08720
AT5G01725	AT5G10330
AT5G01955	AT5G13150
AT5G03015	AT5G19110
AT5G03085	AT5G19710
AT5G03565	AT5G22970
AT5G03605	AT5G23420
AT5G03765	AT5G24580
AT5G03815	AT5G24655
AT5G04135	AT5G25860
AT5G04165	AT5G25920
AT5G04585	AT5G27927
AT5G04615	AT5G27947
AT5G05045	AT5G32670
AT5G05235	AT5G35560
AT5G05665	AT5G38260
AT5G05935	AT5G39470
AT5G06515	AT5G43450
AT5G06535	AT5G43660
AT5G06705	AT5G45275
AT5G06735	AT5G45605
AT5G06775	AT5G46020
AT5G06795	AT5G46280
AT5G07125	AT5G48420
AT5G07155	AT5G48515
AT5G07745	AT5G51690
AT5G07845	AT5G51820
AT5G08225	AT5G54620
AT5G08375	AT5G55890
AT5G08755	AT5G57670
AT5G08775	AT5G57785
AT5G08785	AT5G57830
AT5G08845	AT5G58590
AT5G08855	AT5G58600
AT5G08915	AT5G59360
AT5G08965	AT5G60670
AT5G08970	AT5G60720
AT5G09675	AT5G66675
AT5G09815	AT5G66970
AT5G09875	AT5G67370
AT5G00745	AT5G01240
AT5G00910	AT5G03320
AT5G00995	AT5G04770
AT5G01045	AT5G05270
AT5G01385	AT5G07290
AT5G01395	AT5G07430
AT5G01635	AT5G09920
AT5G01795	AT5G10600
AT5G01925	AT5G12050
AT5G02055	AT5G13230
AT5G02275	AT5G14650
AT5G02465	AT5G15843
AT5G02685	AT5G17270
AT5G02795	AT5G17830
AT5G02865	AT5G18030
AT5G03025	AT5G19170
AT5G03045	AT5G19180
AT5G03095	AT5G19730
AT5G03115	AT5G20240
AT5G03295	AT5G21090
AT5G03915	AT5G25120
AT5G04435	AT5G27730
AT5G04495	AT5G27765
AT5G05645	AT5G38230
AT5G06065	AT5G40460
AT5G06545	AT5G43935
AT5G06615	AT5G44590
AT5G06655	AT5G44900
AT5G06675	AT5G44940
AT5G06965	AT5G47240
AT5G07185	AT5G48543
AT5G07255	AT5G48730
AT5G07325	AT5G49060
AT5G07795	AT5G51750
AT5G08085	AT5G53970
AT5G08095	AT5G53980
AT5G08165	AT5G54225
AT5G09025	AT5G61720
AT5G09045	AT5G62000
AT5G09085	AT5G62670
AT5G09125	AT5G63050
AT5G09190	AT5G64450
AT5G09195	AT5G64520
AT5G09200	AT5G64530
AT5G09215	AT5G64687
AT5G09255	AT5G64750
AT5G09425	AT5G65670
AT5G09555	AT5G65980
AT5G09705	AT5G66770
AT5G09715	AT5G66816
AT5G09775	AT5G66820
AT1G60545	AT1G60550
AT4G34071	AT4G34090
AT4G38932	AT4G38940
AT5G15022	AT5G15025
